"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Elbasheer, M.; Longo, F.; Mirabelli, G.; Solina, V.","Elbasheer, Mohaiad (57222164337); Longo, Francesco (57201515306); Mirabelli, Giovanni (7003506850); Solina, Vittorio (57197733652)","57222164337; 57201515306; 7003506850; 57197733652","Flexible Symbiosis for Simulation Optimization in Production Scheduling: A Design Strategy for Adaptive Decision Support in Industry 5.0","2024","Journal of Manufacturing and Materials Processing","8","6","275","","","0","3","10.3390/jmmp8060275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213223406&doi=10.3390%2Fjmmp8060275&partnerID=40&md5=a012fa9e8d643affc92890b4d50972a4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85213223406"
"Andreozzi, M.; Bianchi, I.; Mancia, T.; Simoncini, M.","Andreozzi, Marina (58289740700); Bianchi, Iacopo (57224891649); Mancia, Tommaso (57208643589); Simoncini, Michela (14036658500)","58289740700; 57224891649; 57208643589; 14036658500","Investigation on the mechanical and environmental behaviour of 3D-printed molds for manufacturing of CFRP components","2024","International Journal of Advanced Manufacturing Technology","135","9-10","","4785","4802","0","0","10.1007/s00170-024-14778-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208916999&doi=10.1007%2Fs00170-024-14778-z&partnerID=40&md5=8eec731158bf3d9bb10b3a5c2413dc45","Article","Final","","Scopus","2-s2.0-85208916999"
"Tian, B.; Kaul, H.; Janardhanan, M.","Tian, Bo (59059033000); Kaul, Himanshu (55635298800); Janardhanan, Mukund (55874835700)","59059033000; 55635298800; 55874835700","Balancing heterogeneous assembly line with multi-skilled human-robot collaboration via Adaptive cooperative co-evolutionary algorithm","2024","Swarm and Evolutionary Computation","91","","101762","","","0","3","10.1016/j.swevo.2024.101762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208484988&doi=10.1016%2Fj.swevo.2024.101762&partnerID=40&md5=7384ec983af4430f0811c8029c26c0bd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85208484988"
"Cimino, A.; Longo, F.; Mirabelli, G.; Solina, V.; Veltri, P.","Cimino, Antonio (26027418700); Longo, Francesco (57201515306); Mirabelli, Giovanni (7003506850); Solina, Vittorio (57197733652); Veltri, Pierpaolo (58745351500)","26027418700; 57201515306; 7003506850; 57197733652; 58745351500","Enhancing internal supply chain management in manufacturing through a simulation-based digital twin platform","2024","Computers and Industrial Engineering","198","","110670","","","0","18","10.1016/j.cie.2024.110670","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207065956&doi=10.1016%2Fj.cie.2024.110670&partnerID=40&md5=ed213cb9116ead659b058b85c0a649ad","Article","Final","","Scopus","2-s2.0-85207065956"
"Santos, R.; Piqueiro, H.; Dias, R.; Rocha, C.D.","Santos, Romão F. (57214912210); Piqueiro, Henrique (58248819000); Dias, Rui Correia (57193354391); Rocha, Cláudia D. (57215857942)","57214912210; 58248819000; 57193354391; 57215857942","Transitioning trends into action: A simulation-based Digital Twin architecture for enhanced strategic and operational decision-making","2024","Computers and Industrial Engineering","198","","110616","","","0","11","10.1016/j.cie.2024.110616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206816729&doi=10.1016%2Fj.cie.2024.110616&partnerID=40&md5=8d2bc3eaa5f4f4e1f3bd188f673e3cbb","Article","Final","","Scopus","2-s2.0-85206816729"
"Moon, S.; Lee, S.; Park, K.-J.","Moon, Sihoon (57735964100); Lee, Sanghoon (57216696166); Park, Kyung Joon (35220500600)","57735964100; 57216696166; 35220500600","Learning-enabled flexible job-shop scheduling for scalable smart manufacturing","2024","Journal of Manufacturing Systems","77","","","356","367","0","12","10.1016/j.jmsy.2024.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205666227&doi=10.1016%2Fj.jmsy.2024.09.011&partnerID=40&md5=0c3bc0796ce91cc40561c0a766c29404","Article","Final","","Scopus","2-s2.0-85205666227"
"Zhang, W.; He, S.; Zhang, X.; Zhao, X.","Zhang, Wenyu (57206987144); He, Shuguang (7402690929); Zhang, Xiaohong (56159268600); Zhao, Xing (58570102900)","57206987144; 7402690929; 56159268600; 58570102900","Joint optimization of job scheduling, condition-based maintenance planning, and spare parts ordering for degrading production systems","2024","Reliability Engineering and System Safety","252","","110447","","","0","12","10.1016/j.ress.2024.110447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201642398&doi=10.1016%2Fj.ress.2024.110447&partnerID=40&md5=41f887843f33eb275134707c22942fb0","Article","Final","","Scopus","2-s2.0-85201642398"
"Rao, R.V.","Rao, Ravipudi Venkata (57196086213)","57196086213","BHARAT: A simple and effective multi-criteria decision-making method that does not need fuzzy logic, Part-1: Multi-attribute decision-making applications in the industrial environment","2024","International Journal of Industrial Engineering Computations","15","1","","13","40","0","13","10.5267/j.ijiec.2023.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180648137&doi=10.5267%2Fj.ijiec.2023.12.003&partnerID=40&md5=6b1da6cc59d1fb0442c5be260d639138","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180648137"
"Rajendran, R.; Sudhakarapandian, S.","Rajendran, Ravishankar (59425615100); Sudhakarapandian, Ranjitharamasamy (58498877000)","59425615100; 58498877000","A Decision Framework for Selecting Highly Sustainable Packaging Circular Model in Mass-Customized Packaging Industry","2024","Applied Sciences (Switzerland)","14","22","10224","","","0","3","10.3390/app142210224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210268625&doi=10.3390%2Fapp142210224&partnerID=40&md5=1323a38bbbd150ea79ce7dcd7ee45b11","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210268625"
"Schmid, N.A.; Montreuil, B.; Limère, V.","Schmid, Nico André (57203787524); Montreuil, Benoît (7003796719); Limère, Veronique (26421266300)","57203787524; 7003796719; 26421266300","Modeling and solving integrated assembly line balancing, assembly line feeding, and facility sizing problems","2024","International Journal of Production Economics","277","","109354","","","0","7","10.1016/j.ijpe.2024.109354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203449973&doi=10.1016%2Fj.ijpe.2024.109354&partnerID=40&md5=40cdc537936501dbd75ac2bbae559bc0","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85203449973"
