"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Source","EID"
"Elbasheer, M.; Longo, F.; Mirabelli, G.; Solina, V.","Elbasheer, Mohaiad (57222164337); Longo, Francesco (57201515306); Mirabelli, Giovanni (7003506850); Solina, Vittorio (57197733652)","57222164337; 57201515306; 7003506850; 57197733652","Flexible Symbiosis for Simulation Optimization in Production Scheduling: A Design Strategy for Adaptive Decision Support in Industry 5.0","2024","3","10.3390/jmmp8060275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213223406&doi=10.3390%2Fjmmp8060275&partnerID=40&md5=a012fa9e8d643affc92890b4d50972a4","In the rapidly evolving landscape of Industry 4.0 and the transition towards Industry 5.0, manufacturing systems face the challenge of adapting to dynamic, hyper-customized demands. Current Simulation Optimization (SO) systems struggle with the flexibility needed for quick reconfiguration, often requiring time-consuming, resource-intensive efforts to develop custom models. To address this limitation, this study introduces an innovative SO design strategy that integrates three flexible simulation modeling techniques—template-based, structural modeling, and parameterization. The goal of this integrated design strategy is to enable the rapid adaptation of SO systems to diverse production environments without extensive re-engineering. The proposed SO versatility is validated across three manufacturing scenarios (flow shop, job shop, and open shop scheduling) using modified benchmark instances from Taillard’s dataset. The results demonstrate notable effectiveness in optimizing production schedules across these diverse scenarios, enhancing decision-making processes, and reducing SO development efforts. Unlike conventional SO system design, the proposed design framework ensures real-time adaptability, making it highly relevant to the dynamic requirements of Industry 5.0. This strategic integration of flexible modeling techniques supports efficient decision support, minimizes SO development time, and reinforces manufacturing resilience, therefore sustaining competitiveness in modern industrial ecosystems. © 2024 Elsevier B.V., All rights reserved.","digital twin; discrete event; genetic algorithm; Industry 4.0; Industry 5.0; manufacturing systems; optimization; production scheduling; simulation","","Article","Scopus","2-s2.0-85213223406"
"Andreozzi, M.; Bianchi, I.; Mancia, T.; Simoncini, M.","Andreozzi, Marina (58289740700); Bianchi, Iacopo (57224891649); Mancia, Tommaso (57208643589); Simoncini, Michela (14036658500)","58289740700; 57224891649; 57208643589; 14036658500","Investigation on the mechanical and environmental behaviour of 3D-printed molds for manufacturing of CFRP components","2024","0","10.1007/s00170-024-14778-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208916999&doi=10.1007%2Fs00170-024-14778-z&partnerID=40&md5=8eec731158bf3d9bb10b3a5c2413dc45","This paper provides a comprehensive evaluation of using 3D-printed composite molds to produce components for the automotive sector in carbon fiber-reinforced polymers (CFRPs). Two molds in Carbon PA, i.e. PA6 reinforced with 20% by weight short carbon fibers, were realized via fused filament fabrication and subjected to multiple thermal cycles to simulate successive curing operations. Mold distortions were measured using a coordinate measuring machine before and after each heat treatment. Additionally, finite element method (FEM) and life cycle assessment (LCA) analyses were performed to obtain a complete overview of the 3D printed mold use and provide an industrial decision-making tool. Results showed that the mold distortion increases with temperature, and the clamping effect is more pronounced at the mold’s edges, and it is reduced in the center. Irrespective of the thermal cycle temperature, the highest distortion was observed on the upper surface, with reduced deformation on the composite layup plane. FEM simulations confirmed that, following bolt tightening, the molds can resist without critical stress or plastic deformation. LCA analysis demonstrated that 3D-printed molds reduce environmental impact by 18% compared to aluminum ones, leading to more sustainability benefits for low-volume production, making them ideal for prototyping, small batches, or customized components. The potential of 3D-printed molds as a valid alternative to traditional methods to produce low-volume CFRPs was demonstrated. The implications of this study highlight the efficiency and sustainability benefits of 3D printing technology in composite manufacturing, offering a flexible solution for industries where small production runs and customization are critical. © 2024 Elsevier B.V., All rights reserved.","Additive manufacturing; CFRP; FEM; Life cycle assessment; Mold; Thermal cycle","Automotive industry; Concrete construction; Elastomers; Ionomers; Low temperature production; Plastic molds; Process control; Carbon fibre reinforced polymer; Composite mold; Comprehensive evaluation; Element method; Environmental behavior; Life cycle assessment analysis; Mechanical behavior; Polymer components; Thermal; Thermal cycle; Carbon fiber reinforced plastics","Article","Scopus","2-s2.0-85208916999"
"Tian, B.; Kaul, H.; Janardhanan, M.","Tian, Bo (59059033000); Kaul, Himanshu (55635298800); Janardhanan, Mukund (55874835700)","59059033000; 55635298800; 55874835700","Balancing heterogeneous assembly line with multi-skilled human-robot collaboration via Adaptive cooperative co-evolutionary algorithm","2024","3","10.1016/j.swevo.2024.101762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208484988&doi=10.1016%2Fj.swevo.2024.101762&partnerID=40&md5=7384ec983af4430f0811c8029c26c0bd","In human-centred manufacturing, deploying collaborative robots (cobots) is recognized as a promising strategy to enhance the inclusiveness and resilience of production systems. Despite notable progress, current production scheduling methods for human-robot collaboration (HRC) still fail to adequately accommodate workforce heterogeneity, significantly reducing their adoption and implementation. To address this gap, we introduce a novel model for the Assembly Line Worker Integration and Balancing Problem considering Multi-skilled Human-Robot Collaboration (ALWIBP-mHRC). This model aims to optimize task scheduling between semi-skilled workers and cobots, aiming to maximize productivity and minimize costs. It features a multi-skilled human-robot collaboration (mHRC) task assignment scheme that selects the optimal assembly/collaboration mode from seven scenarios, based on specific task requirements and resource-skill availability, thus maximizing resource-skill complementarity. To tackle the complexities of this problem, we propose an adaptive multi-objective cooperative co-evolutionary algorithm (a-MOCC) that incorporates a sub-problem decomposition and decoding framework tailored for ALWIBP-mHRC, enhanced by an adaptive evolutionary strategy based on Q-learning (Q-Coevolution). Experimental tests demonstrate the superior performance of the proposed method compared to other established metaheuristic algorithms across various instance sizes, underscoring its effectiveness in enhancing the productivity of production systems for semi-skilled workers. The findings are significant for investment decision-making and resource planning, as they highlight the strategic value of integrating cobots in large-scale heterogeneous workforce production. This work underscores the potential of cobots to mitigate skill gaps in assembly systems, laying the groundwork for future research and industrial strategies focused on enhancing productivity, inclusivity, and adaptability in a dynamically changing labour market. © 2024 Elsevier B.V., All rights reserved.","Assembly line worker assignment and balancing problem; Cooperative co-evolutionary algorithm; Heterogeneous workforce; Meta-heuristic; Reinforcement learning","Assembly machines; Balancing; Investments; Job shop scheduling; Reinforcement learning; Resource allocation; Robot programming; Robotic assembly; Toy manufacture; Assembly line worker assignment and balancing problem; Assembly-line workers; Assignment problems; Balancing problems; Co-evolutionary algorithm; Cooperative co-evolutionary algorithm; Heterogeneous workforce; Metaheuristic; Reinforcement learnings; Worker assignments; Collaborative robots","Article","Scopus","2-s2.0-85208484988"
"Cimino, A.; Longo, F.; Mirabelli, G.; Solina, V.; Veltri, P.","Cimino, Antonio (26027418700); Longo, Francesco (57201515306); Mirabelli, Giovanni (7003506850); Solina, Vittorio (57197733652); Veltri, Pierpaolo (58745351500)","26027418700; 57201515306; 7003506850; 57197733652; 58745351500","Enhancing internal supply chain management in manufacturing through a simulation-based digital twin platform","2024","19","10.1016/j.cie.2024.110670","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207065956&doi=10.1016%2Fj.cie.2024.110670&partnerID=40&md5=ed213cb9116ead659b058b85c0a649ad","Digital Twin (DT) technology is profoundly changing the manufacturing landscape and supply chain management with its ability to create real-time digital replicas of physical processes, allowing for enhanced monitoring and optimized decision-making. However, the analysis of scientific literature reveals that further efforts are needed to spread the use of Industry 4.0 technologies, in the specific context of Internal Supply Chains (ISCs). The main aim of this study is to design, develop test and validate a multi-plant Simulation-Based DT production planning platform for ISCs management. A modular architecture is adopted, and the focus is on a Simulation-Based Digital Twin module, which uses an object-oriented structure and enables what-if analyses, involving several scheduling rules and ISC configurations. The proposed solution ensures flexibility and scalability, two crucial features in a constantly evolving market environment. The platform is tested and validated through a case study, involving a corporate group in the Oil & Gas manufacturing sector, which needs to improve the ISC performance, under a Make-To-Order production strategy. The comparison with a baseline scenario, where the platform is not adopted, shows that the proposed approach can significantly reduce the average flow time, the average tardiness, the number of late orders. This study has important practical implications because enables proactive and smart decision-making, aimed at resource optimization and continuous improvement, through predictive analytics and scenario analysis. © 2024 Elsevier B.V., All rights reserved.","Automated simulation modelling; Digital twin; Internal supply chain; Manufacturing industry; Production planning; Simulation","Automated simulation modeling; Chain management; Decisions makings; Digital replicas; Internal supply chain; Manufacturing industries; Production Planning; Real- time; Simulation; Simulation-modelling; Smart manufacturing","Article","Scopus","2-s2.0-85207065956"
"Santos, R.; Piqueiro, H.; Dias, R.; Rocha, C.D.","Santos, Romão F. (57214912210); Piqueiro, Henrique (58248819000); Dias, Rui Correia (57193354391); Rocha, Cláudia D. (57215857942)","57214912210; 58248819000; 57193354391; 57215857942","Transitioning trends into action: A simulation-based Digital Twin architecture for enhanced strategic and operational decision-making","2024","11","10.1016/j.cie.2024.110616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206816729&doi=10.1016%2Fj.cie.2024.110616&partnerID=40&md5=8d2bc3eaa5f4f4e1f3bd188f673e3cbb","In the dynamic realm of nowadays manufacturing, integrating digital technologies has become paramount for enhancing operational efficiency and decision-making processes. This article presents a novel system architecture that integrates a Simulation-based Digital Twin (DT) with emerging trends in manufacturing to enhance decision-making, accompanied by a detailed technical approach encompassing protocols and technologies for each component. The DT leverages advanced simulation techniques to model, monitor, and optimize production processes in real time, facilitating both strategic and operational decision-making. Complementing the DT, trending technologies such as artificial intelligence, additive manufacturing, collaborative robots, autonomous vehicles, and connectivity advancements are strategically integrated to enhance operational efficiency and facilitate the adoption of the Manufacturing as a Service (MaaS) paradigm. A case study within a MaaS supplier context, deployed in an industrial laboratory with advanced robotic systems, demonstrates the practical application of optimizing dynamic job-shop configurations using Simulation-based DT, showcasing strategies to improve operational efficiency and resource utilization. The results of the industrial experiment were highly encouraging, underscoring the potential for extension to more intricate industrial systems, with particular emphasis on incorporating sustainability and remanufacturing principles. © 2024 Elsevier B.V., All rights reserved.","Digital Twin; Manufacturing trending technologies; Robotics; Simulation; Strategic and operational decision-making","Collaborative robots; Industrial robots; Decision-making process; Digital technologies; Manufacturing trending technology; Operational decision making; Operational decisions; Operational efficiencies; Simulation; Strategic and operational decision-making; Strategic decisions; Systems architecture; Smart manufacturing","Article","Scopus","2-s2.0-85206816729"
"Moon, S.; Lee, S.; Park, K.-J.","Moon, Sihoon (57735964100); Lee, Sanghoon (57216696166); Park, Kyung Joon (35220500600)","57735964100; 57216696166; 35220500600","Learning-enabled flexible job-shop scheduling for scalable smart manufacturing","2024","12","10.1016/j.jmsy.2024.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205666227&doi=10.1016%2Fj.jmsy.2024.09.011&partnerID=40&md5=0c3bc0796ce91cc40561c0a766c29404","In smart manufacturing systems (SMSs), flexible job-shop scheduling with transportation constraints (FJSPT) is essential to optimize solutions for maximizing productivity, considering production flexibility based on automated guided vehicles (AGVs). Recent developments in deep reinforcement learning (DRL)-based methods for FJSPT have encountered a scale generalization challenge. We propose the Heterogeneous Graph Scheduler (HGS), a novel DRL-based method that provides near-optimal solutions regardless of the scale of operations, machines, and vehicles. HGS modifies the disjunctive graph to model FJSPT as a heterogeneous graph of operations, machines, and vehicles, dynamically representing processes and transportation. It involves a structure-aware heterogeneous graph encoder to enhance scale generalization, using multi-head attention to aggregate messages locally and integrate them globally. A three-stage decoder for end-to-end decision-making outputs the scheduling solution by selecting nodes with the highest likelihood of minimizing makespan. Our evaluation with benchmark datasets shows HGS outperforms traditional dispatching rules, metaheuristics, and existing DRL-based methods, demonstrating superior makespan performance and scale generalization. Moreover, as the scale increases, HGS achieves the best solutions across all instances. © 2024 Elsevier B.V., All rights reserved.","Flexible job-shop scheduling; Reinforcement learning; Scale generalization; Smart manufacturing systems; Transportation constraints","Automatic guided vehicles; Deep reinforcement learning; Flexible manufacturing systems; Job shop scheduling; Reinforcement learning; Flexible job-shop scheduling; Generalisation; Heterogeneous graph; Learning-based methods; Production flexibility; Reinforcement learnings; Scale generalization; Smart manufacturing; Smart manufacturing system; Transportation constraint","Article","Scopus","2-s2.0-85205666227"
"Zhang, W.; He, S.; Zhang, X.; Zhao, X.","Zhang, Wenyu (57206987144); He, Shuguang (7402690929); Zhang, Xiaohong (56159268600); Zhao, Xing (58570102900)","57206987144; 7402690929; 56159268600; 58570102900","Joint optimization of job scheduling, condition-based maintenance planning, and spare parts ordering for degrading production systems","2024","12","10.1016/j.ress.2024.110447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201642398&doi=10.1016%2Fj.ress.2024.110447&partnerID=40&md5=41f887843f33eb275134707c22942fb0","The system degrades gradually due to intrinsic properties and the external environment while processing scheduling jobs. Maintenance plays an important role in restoring system performance during the job scheduling process. In contrast to traditional integration studies of scheduling and maintenance, this study further considers spare parts inventory in integrated decision-making. By integrating spare parts ordering information, engineers can meticulously organize maintenance and spare parts replenishment, thereby bolstering system reliability and ensuring smooth production scheduling. This paper presents a mathematical model that jointly optimizes job scheduling, condition-based maintenance planning, and spare parts ordering for deteriorating production systems. The system's degradation state and spare parts inventory state are identified and revealed at the end of the scheduling job. A condition-based maintenance and spare parts ordering policy is triggered based on the captured joint state. Subsequently, we developed a joint optimization model to determine the optimal maintenance thresholds, spare parts ordering thresholds, and job sequences, aimed at minimizing the total weighted expected cost within the scheduling horizon. Finally, an effective genetic algorithm is proposed, and a practical case study involving a rolling mill system is utilized to validate the proposed policy. © 2024 Elsevier B.V., All rights reserved.","condition-based maintenance; job scheduling; joint optimization; spare parts ordering","Job shop scheduling; Condition based maintenance; Intrinsic property; Jobs scheduling; Joint optimization; Maintenance planning; Production system; Scheduling jobs; Spare part ordering; Spare parts; Spare parts inventories; Scheduled maintenance","Article","Scopus","2-s2.0-85201642398"
"Rao, R.V.","Rao, Ravipudi Venkata (57196086213)","57196086213","BHARAT: A simple and effective multi-criteria decision-making method that does not need fuzzy logic, Part-1: Multi-attribute decision-making applications in the industrial environment","2024","15","10.5267/j.ijiec.2023.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180648137&doi=10.5267%2Fj.ijiec.2023.12.003&partnerID=40&md5=6b1da6cc59d1fb0442c5be260d639138","A simple and effective multi-criteria decision-making methodology named as “Best Holistic Adaptable Ranking of Attributes Technique (BHARAT)” is proposed that can be used in single-as well as group decision-making scenarios of the industrial environment. The attributes data for various alternatives can be quantitative or qualitative (i.e., expressed in linguistic terms). This paper proposes to transform the qualitative attributes into quantitative attributes by means of simple linear scales rather than complex fuzzy scales. The proposed BHARAT method normalizes the data with reference to the “best” alternative corresponding to an attribute and the normalization procedure is repeated for all the attributes to get the normalized data. A group of decision-makers or a decision-maker assigns ranks to the attributes according to how important they are deemed to be, and these ranks are then transformed into the proper weights. The total scores of the alternatives are calculated by multiplying the weights of the attributes by the corresponding normalized data of the attributes for different alternatives. Four industrial case studies are presented to illustrate the potential of the suggested BHARAT method. The first case study deals with the problem of an automated warehouse selection for a large industrial plant involving a single decision-maker, 13 attributes, and 4 alternative warehouses; the second case study deals with the problem of sustainable maintenance service provider selection for a large petrochemical plant involving fuzzy group decision-making with 5 decision-makers, 9 attributes, and 4 alternative maintenance service providers; the third case study deals with the problem of alternative strategy selection for implementation of a make-to-order system for passenger car manufacturers involving 6 factors, 18 sub-factors, and 3 alternative strategies; and the fourth case study deals with the problem of process parameters selection in a sustainable high speed turning operation involving 4 attributes and 9 alternative sets of experimental conditions. The results of the proposed decision-making method and its second version are compared with the other popular decision-making methods. The proposed method and its another version are proved simple, effective, powerful, flexible, easy to apply, do not require the use of fuzzy logic, offer logical and consistent procedures to assign weights to the attributes, and are applicable to different decision-making scenarios of the industries. Part-1 of this paper describes the applications of the BHARAT method to multi-attribute decision-making problems and Part-2 describes the evaluation of Pareto solutions using the BHARAT method in multiple objective decision-making problems. © 2024 Elsevier B.V., All rights reserved.","BHARAT; Evaluation of alternatives; Fuzzy-logic; Multi-attribute decision-making; Ranking of attributes; Simple linear scales; Total scores","","Article","Scopus","2-s2.0-85180648137"
"Rajendran, R.; Sudhakarapandian, S.","Rajendran, Ravishankar (59425615100); Sudhakarapandian, Ranjitharamasamy (58498877000)","59425615100; 58498877000","A Decision Framework for Selecting Highly Sustainable Packaging Circular Model in Mass-Customized Packaging Industry","2024","3","10.3390/app142210224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210268625&doi=10.3390%2Fapp142210224&partnerID=40&md5=1323a38bbbd150ea79ce7dcd7ee45b11","The selection of a sustainable packaging circular model approach entails numerous obstacles under rapidly developing circumstances, such as environmental factors, market competition, and advancing technology, impacting decision-making processes. We have considered Z-number-based decision-making methods as an alternative to the conventional method. This study presents a selection of circular sustainable packaging models, considering significant challenges from five primary objectives: economic, environmental, social responsibility, sustainability, and time-based, with three circular models: biodegradable, compostable, and recycling. The ZF-DEMATEL-TOPSIS method is used in an integrated manner to address the packaging circular model selection problem. The study results indicate that the mass-customized recyclable packaging circular model is the most highly sustainable among the three models. At the same time, the most significant challenges are production cost, energy efficiency, and makespan. The proposed method was validated using the sensitivity analysis with an 90% consistency ratio. We conducted this study to aid in analyzing and developing a highly sustainable mass-customized circular packaging model. © 2024 Elsevier B.V., All rights reserved.","circular model; mass customization; Z-numbers; ZFDEMATEL; ZFTOPSIS","Sustainable development goals; Circular model; Decision framework; Mass customization; Modeling approach; Packaging industry; Packaging models; Sustainable packaging; Z-number; ZFDEMATEL; ZFTOPSIS; Circular economy","Article","Scopus","2-s2.0-85210268625"
"Schmid, N.A.; Montreuil, B.; Limère, V.","Schmid, Nico André (57203787524); Montreuil, Benoît (7003796719); Limère, Veronique (26421266300)","57203787524; 7003796719; 26421266300","Modeling and solving integrated assembly line balancing, assembly line feeding, and facility sizing problems","2024","7","10.1016/j.ijpe.2024.109354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203449973&doi=10.1016%2Fj.ijpe.2024.109354&partnerID=40&md5=40cdc537936501dbd75ac2bbae559bc0","The individual research domains of assembly line balancing and feeding have received considerable attention in recent years, furthered by a continuing trend towards mass customization. This research extends the limited literature on the simultaneous consideration of line balancing and feeding while substantially broadening the scope concerning the number of assembly line feeding policies and the incorporation of facility sizing decisions. This large-scale problem is modeled using mathematical programming techniques and solved using a logic-based Benders’ decomposition. We used a combination of real-world and re-engineered data from a car manufacturer to conduct numerical experiments. The major findings reveal that integrated decision-making may lead to a substantial cost reduction of up to 20% in this case. Furthermore, the study explores subsets of feeding policies to reduce the amount of different material flows within the factory while considering their associated costs. Our findings reveal a surprising difference in the importance of individual line feeding policies, specifically identifying boxed-supply as a pivotal policy for ensuring feasibility and reducing costs. © 2024 Elsevier B.V., All rights reserved.","Assembly system planning; Logic-based bender's decomposition; Optimization; Production","Assembly; Feeding; Assembly line; Assembly system planning; Assembly-line balancing; Line balancing; Logic-based benders decompositions; Mass customization; Optimisations; Research domains; Sizing decisions; Sizing problems; Assembly machines","Article","Scopus","2-s2.0-85203449973"
