"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Document Type","Source","EID"
"Eichenseer, P.; Winkler, H.","Eichenseer, Patrick (59331957400); Winkler, Herwig (15046171000)","59331957400; 15046171000","A data-oriented shopfloor management in the production context: a systematic literature review","2024","10.1007/s00170-024-14238-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204244229&doi=10.1007%2Fs00170-024-14238-8&partnerID=40&md5=cd6265cea787ce4ae5a79a019057a7e6","Review","Scopus","2-s2.0-85204244229"
"Mohamed Ellithy, K.; Salah, M.; Samy, I.S.; Shalaby, R.","Mohamed Ellithy, Kareim (58928270500); Salah, Mariam (59240335100); Samy, Irene Samy (56572668600); Shalaby, Raafat Elsayed (57189045808)","58928270500; 59240335100; 56572668600; 57189045808","AGV and Industry 4.0 in warehouses: a comprehensive analysis of existing literature and an innovative framework for flexible automation","2024","10.1007/s00170-024-14127-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200035987&doi=10.1007%2Fs00170-024-14127-0&partnerID=40&md5=b0810470a4bf393808fd7eddd893d877","Review","Scopus","2-s2.0-85200035987"
"Cordero-Lanzac, T.; Gayubo, A.G.; Aguayo, A.T.; Bilbao, J.","Cordero-Lanzac, Tomas (57118203000); Gayubo, Ana G. (23567763800); Aguayo, Andrés Tomás (35452951900); Bilbao, Javier (7101601142)","57118203000; 23567763800; 35452951900; 7101601142","The MTO and DTO processes as greener alternatives to produce olefins: A review of kinetic models and reactor design","2024","10.1016/j.cej.2024.152906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196273361&doi=10.1016%2Fj.cej.2024.152906&partnerID=40&md5=99a6c5911dfba867ea2a830057666a3e","Review","Scopus","2-s2.0-85196273361"
"Di Pasquale, V.; Cutolo, P.; Esposito, C.; Franco, B.; Iannone, R.; Miranda, S.","Di Pasquale, Valentina (56550021000); Cutolo, Paolo (59305688600); Esposito, Carmen (59305216800); Franco, Benedetta (59306320600); Iannone, Raffaele (35269179500); Miranda, Salvatore (16070283100)","56550021000; 59305688600; 59305216800; 59306320600; 35269179500; 16070283100","Virtual Reality for Training in Assembly and Disassembly Tasks: A Systematic Literature Review","2024","10.3390/machines12080528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202627354&doi=10.3390%2Fmachines12080528&partnerID=40&md5=1ee4c15de2e15e4d47fb87ec2106f2d5","Review","Scopus","2-s2.0-85202627354"
"Barekatain, A.; Habibi, H.; Voos, H.","Barekatain, Alireza (58631157700); Habibi, Hamed (55146571400); Voos, Holger (6603280387)","58631157700; 55146571400; 6603280387","A Practical Roadmap to Learning from Demonstration for Robotic Manipulators in Manufacturing","2024","10.3390/robotics13070100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199538667&doi=10.3390%2Frobotics13070100&partnerID=40&md5=260fe9510baa306a5db94a613afe2632","Review","Scopus","2-s2.0-85199538667"
"Shi, Y.; Yan, C.; Song, B.; Su, B.; Wei, Q.; Zhang, L.; Wu, J.; Wen, S.; Liu, J.; Cai, C.; Yu, S.; Li, C.; Zhou, Y.; Chen, A.; Yang, L.; Chen, P.; Zou, Y.; Tang, M.; Chen, Y.; Shi, Y.; Wu, H.; Zhang, L.; Liu, Z.; Wang, H.; Wang, C.; Wu, S.; Liu, G.; Ouyang, Z.","Shi, Yusheng (56192512900); Yan, Chunze (23111839200); Song, Bo (53985410600); Su, Bin (56437216900); Wei, Qingsong (8398663400); Zhang, Lichao (23993338600); Wu, Jiamin (55747912000); Wen, Shifeng (56650506400); Liu, Jie (59223004800); Cai, Chao (7202874054); Yu, Shengfu (36119424600); Li, Chenhui (8899198200); Zhou, Yan (55236633000); Chen, Annan (57192370267); Yang, Lei (57155134200); Chen, Peng (57865771200); Zou, Yang (57208185743); Tang, Minkai (59888023300); Chen, Ying (55759987300); Shi, Yunsong (56687891500); Wu, Hongzhi (57202466592); Zhang, Lei (56471403400); Liu, Zhufeng (56972837900); Wang, Haoze (57404114400); Wang, Changshun (37005122100); Wu, Siqi (57208531817); Liu, Guizhou (58313897600); Ouyang, Zhen (58809561100)","56192512900; 23111839200; 53985410600; 56437216900; 8398663400; 23993338600; 55747912000; 56650506400; 59223004800; 7202874054; 36119424600; 8899198200; 55236633000; 57192370267; 57155134200; 57865771200; 57208185743; 59888023300; 55759987300; 56687891500; 57202466592; 56471403400; 56972837900; 57404114400; 37005122100; 57208531817; 58313897600; 58809561100","Recent Advances in Additive Manufacturing Technology: Achievements of the Rapid Manufacturing Center in Huazhong University of Science and Technology","2024","10.1016/j.amf.2024.200144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211922280&doi=10.1016%2Fj.amf.2024.200144&partnerID=40&md5=e4eab5ff2de7a4af884451b96a015af9","Review","Scopus","2-s2.0-85211922280"
"Yue, X.; Xiong, X.; Xu, X.; Zhang, M.","Yue, Xinyi (57278757900); Xiong, Xianqing (44462212100); Xu, Xiutong (58297860300); Zhang, Mei (58296541400)","57278757900; 44462212100; 58297860300; 58296541400","Big data for furniture intelligent manufacturing: conceptual framework, technologies, applications, and challenges","2024","10.1007/s00170-024-13719-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192346924&doi=10.1007%2Fs00170-024-13719-0&partnerID=40&md5=5e4c12b0b640d597313707540b32a84b","Review","Scopus","2-s2.0-85192346924"
"Kriouich, M.; Sarir, H.","Kriouich, Mohamed (58184285700); Sarir, Hicham (57214145074)","58184285700; 57214145074","Artificial Intelligence Application in Production Scheduling Problem Systematic Literature Review: Bibliometric Analysis, Research Trend, and Knowledge Taxonomy","2024","10.1007/s43069-024-00312-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189150756&doi=10.1007%2Fs43069-024-00312-0&partnerID=40&md5=8523997d50602ccefce3c7bbb2261f19","Review","Scopus","2-s2.0-85189150756"
"Hernandez Moreno, V.; Jansing, S.; Polikarpov, M.; Carmichael, M.G.; Deuse, J.","Hernandez Moreno, Victor (57986337200); Jansing, Steffen (58103046700); Polikarpov, Mikhail (58440947700); Carmichael, Marc G. (36801255200); Deuse, Jochen (24437696400)","57986337200; 58103046700; 58440947700; 36801255200; 24437696400","Obstacles and opportunities for learning from demonstration in practical industrial assembly: A systematic literature review","2024","10.1016/j.rcim.2023.102658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173478217&doi=10.1016%2Fj.rcim.2023.102658&partnerID=40&md5=e2181658f3964fcbf9d127a88b14861e","Review","Scopus","2-s2.0-85173478217"
"Alvarez-Lorenzo, C.; Goyanes, A.; Concheiro, A.","Alvarez-Lorenzo, Carmen Isabel (7004396916); Goyanes, Alvaro (37037477300); Concheiro, Angel (7006298247)","7004396916; 37037477300; 7006298247","Cyclodextrins in 3D/4D printing for biomedical applications","2024","10.1016/j.addma.2024.104120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189857396&doi=10.1016%2Fj.addma.2024.104120&partnerID=40&md5=58d9ca0774fe28f1c04076eb45569eaa","Review","Scopus","2-s2.0-85189857396"
